,paragraph
40,There are fundamental differences between climate change adaptation activities and mitigation activities For mitigation activities a onetonne reduction of CO2 emissions has the same impact regardless of where the mitigation activity takes place It is therefore possible to define lists of activities that are
41,deemed to support climate change mitigation Adaptation responds to physical climate risks that are mostly location and context specific For example there are in principle several engineering and non engineering options available to a coastal city to respond to the risk resulting from increased sea level Responses will vary according to where the city is located its size the institutional and financial capacity of the city administration to deal with climate risk the technical and engineering expertise available the priority of the city the perception of the citizens and other factors The adaptation responses will benefit the city that adopts them and possibly the systems that depend or interact with the city
42,The proposed approach is based on qualitative screening to identify activities that contribute to adaptation Qualitative screening criteria allow for a structured processbased approach to determine if an economic activity contributes to adaptation As measured baselines or accepted metrics for adaptation have not yet been developed an established methodology for defining quantitative screening criteria for adaptation and defined adaptation targets at the national sectoral or subnational level do not exist Even with the availability of methodologies targets or baselines quantitative screening criteria could exclude smallscale activities that may deliver significant climateresilience benefits in specific contexts
43,The Adaptation Taxonomy covers 68 economic activities which were originally selected for their potential to deliver a substantial contribution to climate change mitigation The application of the adaptation taxonomy beyond these activities is only constrained by the lack of availability of DNSH criteria for the other five environmental objectives covered by the Taxonomy
44,A number of economic activities that might be important for climate adaptation are not yet included in the economic activities currently addressed in the Taxonomy The application of the taxonomy will be expanded to more economic activities as criteria for DNSH to other environmental objectives are developed
45,In that respect the TEG recommends that the economic activities listed in the table below be prioritised for further work on DNSH criteria to the other environmental objectives because of their high potential for a substantial contribution to adaptation
46,The TEG gave close consideration to the inclusion of two of these economic activities into the Taxonomy for this report namely research  development and Telecommunications computer programming and information The TEGs analysis on these issues can be found in the section titled Additional adaptation activities for further consideration However on due reflection the view was taken that further consideration of the DNSH criteria for these activities would be needed before this could be done
47,The TEG also recommends that the platform review the proposed DNSH criteria for NonLife Insurance 6512 and Engineering Activities and Related Technical Consultancy Dedicated to Adaptation to Climate Change 7112 as a matter of priority These criteria are conservative in that they recognise service provision only to activities themselves eligible under the Taxonomy It may be preferable to simplify the criteria to increase coverage and enhance usability
48,The proposed regulation establishes a framework for understanding substantial contributions to climate change adaptation objectives This definition is broadly consistent with that provided by the Intergovernmental Panel on Climate Change9
49,9 The IPCC provides the following definition of adaptation in their 5th Assessment Report The process of adjustment to actual or expected climate and its effects In human systems adaptation seeks to moderate or avoid harm or exploit beneficial opportunities In some natural systems human intervention may facilitate adjustment to expected climate and its effects IPCC 2014 Climate Change 2014 Impacts Adaptation and Vulnerability Part B Regional Aspects Contribution of Working Group II to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change Barros VR CB Field DJ Dokken MD Mastrandrea KJ Mach TE Bilir M Chatterjee KL Ebi YO Estrada RC Genova B Girma ES Kissel AN Levy S MacCracken PR Mastrandrea and LL White eds Cambridge University Press Cambridge UK and New York NY USA
50,that economic activity includes adaptation solutions that either substantially reduce the risk of adverse impact or substantially reduces the adverse impact of the current and expected future climate on that economic activity itself without increasing the risk of an adverse impact on other people nature and assets or where that economic activity provides adaptation solutions that in addition to the conditions laid down in Article 11a contribute substantially to preventing or reducing the risk of adverse impact or substantially reduces the adverse impact of the current and expected future climate on other people nature or assets without increasing the risk of an adverse impact on other people nature and assets
51,The adverse impact of climate change considered for the development of the taxonomy include impact resulting from both chronic or slow onset climaterelated hazards such as average temperature increase and sea level rise and rapid or acute climate related hazards such as extreme rainfall storm surges flooding and heat waves
52,In this report material physical climate risk is the risk of financial and nonfinancial losses occurring due to performance failures performance delays or incomplete performance of an economic activity resulting from climaterelated hazards
53,Both types of activities must also meet the criteria for Do No Significant Harm to other environmental objectives and comply with minimum social safeguards established for the Taxonomy Activities adapted to climate change and activities enabling adaptation of other economic activities provide a positive environmental impact by meeting a set of technical criteria for substantial contribution to adaptation and a
54,set of criteria for doing no harm to other environmental objectives whilst avoiding adverse impacts to people asset and nature and preventing a lockin in activities that undermine longterm environmental goals
55,This is consistent with the approach taken when identifying economic activities that substantially contribute to climate change mitigation in terms of mitigated activity and activity enabling mitigation
56,The first set of economic activities contribute to adaptation via adopting solutions that ensure that the economic activity can perform well under a changing climate This contribution to adaptation usually occurs in economic activities that have a primary objective other than climate change adaptation For example a transmission line for the distribution of electricity to an urban area is made more climate resilient to the expected increase in temperature by installing conductors with operating limits at higher temperature thresholds Efforts to identify and reduce physical climate risks to an economic activity should be based on a best effort basis recognising that it is not possible to reduce physical climate risk to zero The characteristics of risks to an economic activity are increasingly difficult to predict over long time horizons because of the uncertainties associated with future changes in the climate As a result adaptation of an economic activity requires a proportionate flexible and an iterative risk management approach that can be adjusted over time
57,The second set of economic activities contribute to adaptation via enabling the adaptation of other economic activities For example the construction of a flood protection system is performed to reduce the risk of flood for a facility or a city and the economic activities that take place in it Similarly the research
58,Solutions that support adapted activities and economic activities enabling adaptation are clearly linked and may overlap However the distinction between these two types of adaptation activities can guide different user types Adapting an economic activity captures the solutions required by actors to increase their own resilience whilst enabling activities capture the research development marketing and installation of solutions that will help other entities to adapt For example a water utility vulnerable to increased risk of floods may adopt early warning systems to reduce this risk and this would count as part of the programme of solutions that entity is taking to ensure their activity is adapted to climate change ie part of their response to adapting that economic activity However a small or mediumsized enterprise SME developing the technology for flood early warning systems to support adaptation of other sectors including by the water utility company This activity of the technology developer is therefore counted as enabling adaptation This example is illustrated in Figure 8 below
59,Some of the economic activities currently addressed in the Taxonomy might often fall under the category of adapted activities others might be activities enabling adaptation There will be activities that can be either type depending on their purpose and the context within which the activity takes place What is key is the primary objective of the actor engaged in that activity For this reason the economic activities are not a priori categorised into Adapted activity andor Activity enabling adaptation this is left to the discretion of the user
60,For example Conservation Forestry could be deemed to be an activity enabling adaptation if the primary objective of the conservation activity is to support the adaptation of other economic activities or actors eg to prevent soil erosion damaging agricultural production or threatening local settlements or water supplies Conversely Conservation Forestry where the primary purpose is to promote biodiversity may be treated as an adapted activity if they are at the same time ensuring that those forests are resilient to climate change risks This is a difficult line to drawn given the interrelationships and cobenefits between these objectives In such cases users are asked to identify and justify whether their activity should be viewed as an adapted activity or an activity enabling adaptation of other economic activities and meet the appropriate criteria accordingly
61,Alternatively construction of a new building NACE code F41 or F43 could be deemed to be an activity enabling adaptation if the building is specifically purposed for adaptation and resilience eg shelters or safe buildings for evacuation from floodingtyphoons This is not unusual in countries like Bangladesh and the Philippines though not common practice in Europe But where not specifically purposed construction of a new building would only make a substantial contribution to adaptation via becoming an adapted activity
62,In the case of an adapted economic activity the activity integrates measures aimed at reducing all material physical climate risks to that activity as identified through an assessment of risks posed by both current weather variability and expected future climate change The assessment should take into account chronic and acute climaterelated hazards and associated physical climate risks across a range of scenarios and account for uncertainty It should consider geographic and temporal scales that are appropriate for the economic activity
63,In the case of an economic activity enabling adaptation the activity reduces material risks to other economic activities andor addresses systemic barriers to adaptation for example through a dedicated asset technology service or product and itself integrates measures aimed at reducing material risks where applicable eg in the case of a dedicated asset
64,activities should be consistent with adaptation needs in the applicable sector or region considering opportunities to build resilience outside of the premises of a single activity Those measures should also not increase the risk of an adverse impact on other people nature and assets in terms of hindering adaptation efforts by others for example by shifting impacts faced by others
65,defined indicators for adaptation results If possible updated assessments of physical climate risks should be undertaken at the appropriate frequency eg every five or ten years depending on the risks the context and the availability of new information technologies or approaches or policies and regulations
66,While the principles describe the foundations and qualities underpinning economic activities that contribute to climate change adaptation the screening criteria are specific characteristics that can be used to determine whether an economic activity provides a substantial contribution to adaptation These screening criteria vary between adapted activities and activities that enable adaptation These criteria have been updated since the June 2019 report
67,A11 The economic activity integrates physical and nonphysical measures aimed at reducing  to the extent possible and on a best effort basis  all material physical climate risks to that activity which have been identified through a risk assessment
68,The economic activity reduces material physical climate risk in other economic activities andor addresses systemic barriers to adaptation Activities enabling adaptation include but are not limited to activities that
69,The TEG recommends that the Platform as a matter of priority develops technical guidance on climate risk assessment use of climate data and information making decisions under uncertainties and evaluation of different adaptation options to aid the implementation of the taxonomy
70,In the case of an adapted economic activity at this time only the costs of adaptation can be counted not the revenues and or expenditure associated with the whole activity This is because adaptation of an economic activity is delivered in activities that have primary objectives other than adaptation for example adaptation of an electricity transmission line to increased risk of flood When those activities are adapted to cope with physical climate risk they contribute to the climate resilience of the entire highly integrated and interconnected economic system and as a result deliver a global benefit through aggregated adaptation in all sectors of an economy However methodologies tools and metrics to measure these climate resilience benefits remain under development These technical limitations mean that counting only the costs of adaptation of the economic activity is the most viable conservative option today
71,In some circumstances investments required to adapt an economy activity may be large and implemented in phases as part of an adaptation plan which has been developed in response to a climate risk assessment In these circumstances investments in measures included in a full programme of actions that collectively reduce the material physical climate risks to the economic activity can be counted in phases even if the whole adaptation plan has not been executed It is expected that the full programme of measures would be executed over a period of time no longer than 5 years
72,It is proposed that as a matter of priority the Platform undertake further work to develop approaches for measuring the climate resilience benefits of adapted economic activities This is a key step in moving towards recognising all revenue andor expenditure associated with an economic activity that is adapted to cope with physical climate risk and yields high climate resilience benefits
73,The TEG has developed a classification of climaterelated hazards When developing the Taxonomy the climaterelated hazards considered are limited to the potential occurrence of a weather and climate related natural physical event or trend12
74,The climaterelated hazard classification comprises four major hazard groups with hazards related to water temperature wind and massmovements All groups include acute extreme and chronic slow onset hazards as adaptation must account for both rapid as well as gradual changes in the weather and climate to take the appropriate adaptation measures and avoid maladaptation13
75,All secondary hazards14 resulting from climaterelated hazards including but not limited to chemical biological ecological and epidemiological hazards are excluded It is however advisable to assess the risk of such secondary hazards and consider measures to address them for each economic activity
76,12 IPCC 2014 Climate Change 2014 Synthesis Report Contribution of Working Groups I II and III to the Fifth Assessment Report of the Intergovernmental Panel on Climate Change Core Writing Team RK Pachauri and LA Meyer eds IPCC Geneva Switzerland 151 pp httpswwwipccchsiteassetsuploads201802SYR_AR5_FINAL_fullpdf last visit 02042019
77,13 There are clearly linkages with disaster risk reduction in the effort of reducing physical climate risks resulting from extreme climaterelated hazards Geophysical and technological hazards are outside the domain of adaptation to climate change
78,14 As an example new biological pests or increased prevalence of existing pests can result from changing temperatures Forests and agriculture are typically sensitive to warmer minimum temperatures and in this example their effects on pests In this case the changing prevalence of pests is a secondary hazard against which adaptation measures may be needed
79,Under the proposed Taxonomy regulation economic activities making a substantial contribution to climate change mitigation or adaptation must be assessed to ensure they do not cause significant harm to all remaining environmental objectives An activity contributing to climate change mitigation must avoid significant harm to climate change adaptation and the other four environmental objectives
80,This assessment ensures that progress against some objectives are not made at the expense of others and recognises the reinforcing relationships between different environmental objectives In its future development the Taxonomy will also include activities that make a substantial contribution to the above objectives
81,Per Article 12 of the Taxonomy regulation an economic activity shall be considered as significantly harming climate change adaptation where that activity leads to an increased adverse impact of the current and expected climate on itself or for other people nature and assets
82,In terms of what constitutes or leads to an increased negative effect of climate by an economic activity for and beyond the environment within which that economy activity takes place it is proposed that the DNSH to adaptation criteria should ensure that both
83,be resilient to climate change If they are not and those services are significantly curtailed due to climate change impacts the resilience and ability to adapt of those activities populations ecosystems is weakened This can be achieved by ensuring that all material risks to the economic activity itself have been reduced to the extent possible and on a best effort basis
84,Discussion was had on whether compliance with these requirements should be determined on a caseby case basis through an activity and context specific assessment or whether an apriori activity only level assessment is needed As discussed above adaptation needs and impacts of activities on adaptation and resilience are context specific and therefore a context specific assessment is needed
85,For these reasons the two criteria described in Table 6 are proposed for DNSH to adaptation for all economic activities In addition to these criteria the TEG has considered where there are any examples of tools methodology or other guidance that might be of use in applying these two criteria in the context of a specific economic activity Where such examples have been identified they have been noted in the DNSH to Adaptation section of the appropriate economic activity
86,It is noted that for new economic activities the following criteria must be met at the point of design and construction For existing activities and associated assets where addressing physical climate risks requires a retrofit of some kind all material physical climate risks must be assessed and adaptation measures required to address them must be identified and programmed with a clear and time limited execution plan no longer than 5 years
87,to the extent possible and on a best effort basis  all material risks that have been identified through a climate risk assessment For existing activities the implementation of those physical and nonphysical measures may be phased and executed over a period of time of up to 5 years For new activities implementation of these measures must be met at the time of design and construction
88,The economic activity and its adaptation measures do not increase the risks of an adverse climate impact on other people nature and assets or hamper adaptation elsewhere Consideration should be given to the viability of green or naturebasedsolutions over grey measures to address adaptation
89,In accordance with Article 14 of the Taxonomy proposal the DNSH criteria aim to specify the minimum requirements to be met to avoid significant harm to environmental objectives relevant to each economic activity Article 12 provides further details on what constitutes significant harm for each environmental objective
90,where that activity is detrimental to the good status or where relevant the good ecological potential of water bodies including surface waters and groundwaters or to the good environmental status of marine waters
91,where that activity leads to significant inefficiencies in the use of materials and the direct or indirect use of natural resources such as nonrenewable energy sources raw materials water and land in one or more stages of the lifecycle of products including in terms of durability reparability upgradability reusability or recyclability of products or where that activity leads to a significant increase in the generation incineration or disposal of waste with the exception of incineration of non recyclable hazardous waste or where the long term disposal of waste may cause significant and longterm harm to the environment
92,where that activity is detrimental to a significant extent to the good condition and resilience of ecosystems or where that activity is detrimental to the conservation status of habitats and species including those of Community interest
93,In addition the regulation specifies that for all objectives the environmental impacts of the activity itself as well as of the products and services provided by that activity throughout their life cycle shall be taken into account notably by considering their production use and endof life
94,The technical screening criteria proposed by the TEG contain quantitative thresholds where possible Where this is not possible the criteria are qualitative describing an action or set of actions to be demonstrated which avoid significant harm
95,The baseline scenario for the economic activities is compliance with relevant EU environmental legislation To this end the criteria take into account existing EU legislation The call for additional expertise to inform the TEG and the process described below enabled the establishment of criteria based on available scientific evidence Where evidence was not conclusive the precautionary principle enshrined in article 191 TFEU was taken into account as required in Article 14 of the draft regulation
96,To the extent possible the screening criteria whether qualitative or quantitative were selected to facilitate the verification of compliance In many instances the proposed criteria are expressed in terms of compliance with relevant EU legislation andor associated reference information such as the best available techniques BAT reference documents also known as BREFs15
97,Figure 9 presents an overview of the process for development of DNSH technical screening criteria against activities expected to make a substantial contribution to climate change mitigation For each activity the scope was reviewed to identify life cycle aspects and activity boundaries Where linkages with other activities occurred ie where life cycle aspects overlapped with other activities this has been referenced in the analysis
98,Initial screen for activities which could cause significant harm to each environmental objective This analysis was carried out within the scope defined for the economic activity as identified for substantial contribution to climate change mitigation objectives In this analysis TEG members and additional experts have considered all material life cycle stages of the performance of the economic activity within the scope of the mitigation screening criteria
99,15 The BREF list of reference documents have been drawn or are planned to be drawn as part of the exchange of information carried out in the framework of Article 131 of the Industrial Emissions Directive IED 201075EU and other policylegislative instruments BREF are available at httpeippcbjrceceuropaeureference
100,criteria for DNSH in accordance with Article 141f of the Taxonomy proposal16 This approach provided a robust way to avoid errors such as considering sustainable any economic activity that may have negative effects during its upstream or downstream stages Questions asked and resolved included
101,3 Sectoral activities with high mitigation potential not included in the Taxonomy Where significant harm to one or more environmental objectives by the activity cannot be avoided through TEG requirements the activity was not included in the Taxonomy Material issues whereby an activity is considered unsuitable for inclusion in the Taxonomy may include but are not limited to lack of empirical data for reasonable evaluation of DNSH in line with the precautionary approach lockin and intergenerational risks
102,Authoritative publications were reviewed to gain a comprehensive understanding of potential environmental exposures and to identify material exposures for further consideration which may not be captured in existing EU legislation BEMP BAT and BREF
103,resources circular economy pollution prevention and the control and protection of ecosystems is advanced at the EU level with associated methodologies and thresholds as contained in the existing body of EU environmental law ie the environmental acquis17 Existing EU legal requirements apply across the Taxonomy Therefore for an activity to be included it must at minimum comply with EU legal requirements as well as national legal requirements and requirements relating to the environmental permits needed for its operation EU legal requirements were considered as minimum requirements and were in general not repeated in the DNSH evaluation When an environmental impact was considered significant the relevant EU legal requirements including BREF andor national requirements were included in the DNSH criteria unless more specific requirements were deemed necessary to avoid significant harm
104,6 Global Context The Taxonomy can potentially be used for economic activities outside of the EU The technical screening criteria for DNSH provide necessary performance levels or thresholds for EU issued financial products
105,16 Article 141f states The technical screening criteria adopted in accordance with Articles 62 72 82 92 102 and 112 shall take into account the environmental impacts of the economic activity itself as well as of the products and services provided by that economic activity notably by considering their production use and endoflife
106,mitigation scope of activities However for a small number of activities two or three differing sets of DNSH criteria were deemed necessary As an example within the manufacturing macro sector NACE code 2013 Manufacture of other inorganic basic chemicals there is one set of mitigation criteria and three sets of DNSH criteria divided into soda ash carbon black and chlorine
107,This report uses NACE for industry classification and the TEG has developed screening criteria for priority sectors within NACE Other activities may be also eligible so long as the company or investor can demonstrate compliance with the substantial contribution criteria and that no significant harm has been done to any other environmental objective
108,For some corporates who manufacture as well as sell the end products they may attribute revenue to the end product rather than to the manufacturing process Technical screening criteria in this report lays out expectations of the manufacturing process When aligning testing criteria to manufacturing it may be necessary to review revenue classified to the sale of the end product by the same organisation even though the eligible activity would be assessed within the manufacturing processes This is not a supply chain assessment the corporate needs to own the manufacturing process to qualify
109,When considering an activity that does not align with the provided NACE codes it may be possible that the activities of that corporate can still make a substantial contribution to one or more of the environmental objectives This activity can be considered eligible so long as the testing criteria that exist within the report are satisfied
110,Activities of main and secondary building contractors can be found within NACE 43 with additional subsectors under NACE 42 The activities of these companies could be considered eligible as enabling activities if they contribute to construction activities that comply with the taxonomy criteria set under New Constructions and Renovations Eligibility would need to be assessed on a projectbyproject basis as a contractor would have different projects within their portfolio of work some complying with the taxonomy and others not
111,Activities of manufacturers of building products and machinery subsectors within NACE 16 23 and 28 could be considered eligible as enabling activities if they produce low carbon technologies for buildings for example efficient windows insulation etc and comply with the criteria set out within the manufacturing section of this report
112,Real estate brokers and agencies NACE 6831 activities could be considered eligible as Enabling Activities if they support the acquisition of properties that comply with the criteria set for calculated performance in acquisition  ownership but this would have to be assessed and disclosed on an acquisitionbyacquisition basis
113,Property management NACE 6832  Activities of these companies could be considered eligible as Enabling Activities if they satisfy the criteria for measured performance set in Acquisition  Ownership compliance would have to be assessed on a propertybyproperty basis
